#Id	Code	Category	Level	IndicatorSpritePath	EntitySpritePath	Description
#唯一编号	机器码	建筑类别	等级	升级界面指示器精灵路径	主界面实体占位精灵路径	备注描述
1	arch_hatch_0	Hatch	0	Arts/Architecture/Fuhua_LV0	Arts/Architecture/Fuhua_LV0	孵化区0级（未解锁）
2	arch_hatch_1	Hatch	1	Arts/Architecture/Fuhua_LV1	Arts/Architecture/Fuhua_LV1	孵化区1级
3	arch_hatch_2	Hatch	2	Arts/Architecture/Fuhua_LV2	Arts/Architecture/Fuhua_LV2	孵化区2级
4	arch_hatch_3	Hatch	3	Arts/Architecture/Fuhua_LV3	Arts/Architecture/Fuhua_LV3	孵化区3级
5	arch_hatch_4	Hatch	4	Arts/Architecture/Fuhua_LV4	Arts/Architecture/Fuhua_LV4	孵化区4级
6	arch_hatch_5	Hatch	5	Arts/Architecture/Fuhua_LV5	Arts/Architecture/Fuhua_LV5	孵化区5级
12	arch_diet_0	Diet	0	Arts/Architecture/Fuhua_LV0	Arts/Architecture/Fuhua_LV0	饮食区0级（未解锁）
13	arch_diet_1	Diet	1	Arts/Architecture/1	Arts/Architecture/1	饮食区1级
14	arch_diet_2	Diet	2	Arts/Architecture/Diet/Indicator/2	Arts/Architecture/Diet/Entity/2	饮食区2级
15	arch_diet_3	Diet	3	Arts/Architecture/Diet/Indicator/3	Arts/Architecture/Diet/Entity/3	饮食区3级
16	arch_diet_4	Diet	4	Arts/Architecture/Diet/Indicator/4	Arts/Architecture/Diet/Entity/4	饮食区4级
17	arch_diet_5	Diet	5	Arts/Architecture/Diet/Indicator/5	Arts/Architecture/Diet/Entity/5	饮食区5级
22	arch_diet_10	Diet	10	Arts/Architecture/Diet/Indicator/10	Arts/Architecture/Diet/Entity/10	饮食区10级（满级）
23	arch_fruiter_0	Fruiter	0	Arts/Architecture/Fuhua_LV0	Arts/Architecture/Fuhua_LV0	农场区0级（未解锁）
24	arch_fruiter_1	Fruiter	1	Arts/Architecture/1	Arts/Architecture/1	农场区1级
25	arch_fruiter_2	Fruiter	2	Arts/Architecture/Fruiter/Indicator/2	Arts/Architecture/Fruiter/Entity/2	农场区2级
26	arch_fruiter_3	Fruiter	3	Arts/Architecture/Fruiter/Indicator/3	Arts/Architecture/Fruiter/Entity/3	农场区3级
27	arch_fruiter_4	Fruiter	4	Arts/Architecture/Fruiter/Indicator/4	Arts/Architecture/Fruiter/Entity/4	农场区4级
28	arch_fruiter_5	Fruiter	5	Arts/Architecture/Fruiter/Indicator/5	Arts/Architecture/Fruiter/Entity/5	农场区5级
